"cod","nombre","empresa","categoria","subcategoria","tipo","precio"
7702044242196,"Esmalte Vitu tinte21 espinela  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242202,"Esmalte Vitu tinte22 cereza  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242219,"Esmalte Vitu tinte23 opalo  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242271,"Esmalte Vitu tinte24 granate  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242493,"Esmalte Vitu tinte25 acai  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242523,"Esmalte Vitu tinte28 turmalina  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242530,"Esmalte Vitu tinte29 turquesa  ","VITU","Supermercado","Belleza","Maquillaje",0.72
7702044242547,"Esmalte Vitu tinte30 agata  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044241724,"Esmalte Vitu tinte4 pimienta  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044241731,"Esmalte Vitu tinte5 laguna  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044241748,"Esmalte Vitu tinte6 perla  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242059,"Esmalte Vitu tinte7 rubio  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702044242066,"Esmalte Vitu tinte8 oasis  ","VITU","Supermercado","Belleza","Maquillaje",0.77
7702433327145,"Esmalte Vogue fantasic acuarela ","VOGUE","Supermercado","Belleza","Maquillaje",0.93
7702433327213,"Esmalte Vogue fantasic malvavisco ","VOGUE","Supermercado","Belleza","Maquillaje",0.93
